group,rank,recommended,taxon_id,common_name,scientific_name,countries_with_records,observation_count,review_note
mammals,1,yes,118552,Domestic Cat,Felis catus,1,1753,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,2,yes,925979,Small Indian Mongoose,Urva auropunctata,1,609,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,3,yes,41005,Jamaican Fruit-eating Bat,Artibeus jamaicensis,1,507,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,4,yes,47144,Domestic Dog,Canis familiaris,1,451,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,5,yes,42223,White-tailed Deer,Odocoileus virginianus,1,285,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,6,yes,43769,Cuban Ground Hutia,Capromys pilorides,1,214,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,7,yes,209233,Domestic Horse,Equus caballus,1,194,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,8,yes,123070,Domestic Goat,Capra hircus,1,161,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,9,yes,41482,Common Bottlenose Dolphin,Tursiops truncatus,1,157,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,10,yes,44575,Black Rat,Rattus rattus,1,142,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,11,yes,41254,Velvety Free-tailed Bat,Molossus molossus,1,137,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,12,yes,148030,Donkey,Equus asinus,1,112,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,13,yes,41566,Humpback Whale,Megaptera novaeangliae,1,94,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,14,yes,41146,Waterhouse's Leaf-nosed Bat,Macrotus waterhousii,1,79,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,15,yes,44576,Brown Rat,Rattus norvegicus,1,73,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,16,yes,42134,Wild Boar,Sus scrofa,1,64,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,17,yes,42649,Southern Opossum,Didelphis marsupialis,1,61,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,18,yes,44705,House Mouse,Mus musculus,1,61,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,19,yes,74113,Domestic Cattle,Bos taurus,1,60,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,20,yes,46337,Hispaniolan Solenodon,Solenodon paradoxus,1,58,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,21,yes,41178,Buffy Flower Bat,Erophylla sezekorni,1,57,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,22,yes,41500,Pantropical Spotted Dolphin,Stenella attenuata,1,52,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,23,yes,41175,Leach's Single Leaf Bat,Monophyllus redmani,1,51,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,24,yes,41301,Mexican Free-tailed Bat,Tadarida brasiliensis,1,51,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,25,yes,41171,Antillean Fruit-eating Bat,Brachyphylla cavernarum,1,46,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,26,yes,74647,Antillean Ghost-faced Bat,Mormoops blainvillei,1,45,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,27,yes,41663,Common Raccoon,Procyon lotor,1,43,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,28,yes,46316,West Indian Manatee,Trichechus manatus,1,35,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,29,yes,41200,Greater Bulldog Bat,Noctilio leporinus,1,34,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,30,yes,74317,Brown Flower Bat,Erophylla bombifrons,1,28,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,31,yes,41222,Sooty Moustached Bat,Pteronotus quadridens,1,28,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,32,yes,41156,Tree Bat,Ardops nichollsi,1,26,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,33,yes,43774,Hispaniolan Hutia,Plagiodontia aedium,1,26,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,34,yes,121578,Domestic Sheep,Ovis aries,1,21,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,35,yes,46010,Red-tailed Squirrel,Sciurus granatensis,1,17,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,36,yes,74890,Sperm Whale,Physeter macrocephalus,1,16,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,37,yes,41151,Cuban Fig-eating Bat,Phyllops falcatus,1,15,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,38,yes,43460,Rhesus Macaque,Macaca mulatta,1,14,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,39,yes,41503,Atlantic Spotted Dolphin,Stenella frontalis,1,13,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,40,yes,74184,Bahaman Funnel-eared Bat,Chilonatalus tumidifrons,1,12,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,41,yes,74183,Caribbean Lesser Funnel-eared Bat,Chilonatalus micropus,1,11,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,42,yes,41170,Western Antillean Fruit-eating Bat,Brachyphylla nana,1,10,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,43,yes,852338,Red-rumped Agouti,Dasyprocta leporina,1,9,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,44,yes,40273,Schwartz's myotis,Myotis martiniquensis,1,9,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,45,yes,41164,Jamaican fig-eating bat,Ariteus flavescens,1,8,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,46,yes,41532,Short-finned Pilot Whale,Globicephala macrorhynchus,1,8,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,47,yes,41523,Fraser's Dolphin,Lagenodelphis hosei,1,8,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,48,yes,41176,Insular Long-tongued Bat,Monophyllus plethodon,1,8,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,49,yes,41131,Cuban Flower Bat,Phyllonycteris poeyi,1,8,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,50,yes,41219,Davy's naked-backed bat,Pteronotus davyi,1,8,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,51,yes,1596125,Caribbean Brown Bat,Eptesicus dutertreus,1,6,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,52,yes,43779,Bahamian Hutia,Geocapromys ingrahami,1,6,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,53,yes,43778,Jamaican Hutia,Geocapromys brownii,1,5,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,54,yes,43781,Prehensile-tailed Hutia,Mysateles prehensilis,1,5,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,55,yes,43151,European Rabbit,Oryctolagus cuniculus,1,5,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,56,yes,41221,Parnell's Common Mustached Bat,Pteronotus parnellii,1,5,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,57,yes,41130,Jamaican flower bat,Phyllonycteris aphylla,1,4,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,58,yes,40509,Big Brown Bat,Eptesicus fuscus,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,59,yes,1430973,Black-tailed Hutia,Mesocapromys melanurus,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,60,yes,74796,Gervais's Funnel-eared Bat,Nyctiellus lepidus,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,61,yes,1453918,Hispaniolan Common Mustached Bat,Pteronotus pusillus,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,62,yes,41173,red fig-eating bat,Stenoderma rufum,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,63,yes,1067746,Thomas's Yellow-shouldered Bat,Sturnira angeli,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,64,yes,43111,Eastern Cottontail,Sylvilagus floridanus,1,3,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,65,yes,607152,Cuban Solenodon,Atopogale cubana,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,66,yes,74190,Green Monkey,Chlorocebus sabaeus,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,67,yes,1431096,Jamaican Long-tongued Bat,Glossophaga antillarum,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,68,yes,41090,Pallas's Long-tongued Bat,Glossophaga soricina,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,69,yes,41465,Dwarf Sperm Whale,Kogia sima,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,70,yes,40522,Eastern Red Bat,Lasiurus borealis,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,71,yes,40519,Minor Red Bat,Lasiurus minor,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,72,yes,40321,Dominican myotis,Myotis dominicensis,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,73,yes,41204,Mexican Funnel-eared Bat,Natalus stramineus,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,74,yes,41539,False Killer Whale,Pseudorca crassidens,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,75,yes,1453919,Puerto Rican Common Mustached Bat,Pteronotus portoricensis,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,76,yes,41545,Rough-toothed Dolphin,Steno bredanensis,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,77,yes,41428,Cuvier's Beaked Whale,Ziphius cavirostris,1,2,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,78,yes,41562,Fin Whale,Balaenoptera physalus,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,79,yes,81925,Domestic Water Buffalo,Bubalus bubalis,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
mammals,80,yes,1369296,Central American White-faced Capuchin,Cebus imitator,1,1,"iNaturalist regional candidate only; review habitat fit, introduced status and game value before inclusion."
