taxon_id,scientific_name,state,candidate_source_url,review_action
7,Aramus guarauna,missing,,source_or_waive
41,Grus grus,missing,,source_or_waive
53,Balearica regulorum,published,https://www.inaturalist.org/taxa/53,none
77,Otis tarda,published,https://www.inaturalist.org/taxa/77,none
95,Eupodotis senegalensis,missing,,source_or_waive
115,Ardeotis kori,published,https://www.inaturalist.org/taxa/115,none
132,Tetrax tetrax,published,https://www.inaturalist.org/taxa/132,none
162,Porzana carolina,missing,,source_or_waive
178,Porzana porzana,missing,,source_or_waive
473,Fulica americana,missing,,source_or_waive
482,Fulica atra,missing,,source_or_waive
487,Fulica cristata,missing,,source_or_waive
519,Porphyrio martinica,missing,,source_or_waive
804,Coturnix coturnix,missing,,source_or_waive
831,Perdix perdix,missing,,source_or_waive
846,Alectoris chukar,missing,,source_or_waive
863,Alectoris graeca,published,https://www.inaturalist.org/taxa/863,none
867,Alectoris rufa,published,https://www.inaturalist.org/taxa/867,none
871,Alectoris barbara,missing,,source_or_waive
882,Gallus gallus,missing,,source_or_waive
949,Lagopus muta,missing,,source_or_waive
981,Phasianus colchicus,missing,,source_or_waive
1204,Pavo cristatus,missing,,source_or_waive
1428,Numida meleagris,missing,,source_or_waive
1449,Acryllium vulturinum,missing,,source_or_waive
1630,Centropus superciliosus,missing,,source_or_waive
1653,Centropus monachus,missing,,source_or_waive
1730,Chrysococcyx klaas,missing,,source_or_waive
1738,Chrysococcyx caprius,missing,,source_or_waive
1787,Clamator glandarius,missing,,source_or_waive
1903,Cuculus solitarius,missing,,source_or_waive
1907,Cuculus canorus,missing,,source_or_waive
1964,Coccyzus minor,missing,,source_or_waive
1965,Coccyzus americanus,missing,,source_or_waive
1971,Crotophaga ani,missing,,source_or_waive
2117,Todus multicolor,missing,,source_or_waive
2118,Todus subulatus,missing,,source_or_waive
2119,Todus todus,missing,,source_or_waive
2120,Todus angustirostris,missing,,source_or_waive
2121,Todus mexicanus,missing,,source_or_waive
2185,Merops pusillus,missing,,source_or_waive
2191,Merops apiaster,missing,,source_or_waive
2220,Merops nubicus,missing,,source_or_waive
2223,Merops bulocki,missing,,source_or_waive
2226,Merops superciliosus,missing,,source_or_waive
2239,Merops oreobates,missing,,source_or_waive
2240,Merops albicollis,missing,,source_or_waive
2245,Merops persicus,missing,,source_or_waive
2248,Merops bullockoides,missing,,source_or_waive
2265,Coracias abyssinicus,missing,,source_or_waive
2266,Coracias garrulus,missing,,source_or_waive
2269,Coracias caudatus,missing,,source_or_waive
2288,Eurystomus glaucurus,missing,,source_or_waive
2328,Halcyon leucocephala,missing,,source_or_waive
2334,Halcyon chelicuti,missing,,source_or_waive
2337,Halcyon senegalensis,missing,,source_or_waive
2346,Halcyon albiventris,missing,,source_or_waive
2548,Megaceryle alcyon,missing,,source_or_waive
2599,Alcedo atthis,missing,,source_or_waive
2662,Ceryle rudis,missing,,source_or_waive
2938,Streptopelia turtur,published,https://www.inaturalist.org/taxa/2938,none
2951,Streptopelia decipiens,missing,,source_or_waive
2959,Streptopelia capicola,missing,,source_or_waive
2966,Streptopelia roseogrisea,missing,,source_or_waive
2969,Streptopelia decaocto,missing,,source_or_waive
2988,Streptopelia semitorquata,missing,,source_or_waive
2989,Streptopelia lugens,missing,,source_or_waive
3017,Columba livia,missing,,source_or_waive
3033,Columba oenas,missing,,source_or_waive
