taxon_id,scientific_name,state,candidate_source_url,review_action
7,Aramus guarauna,published,https://en.wikipedia.org/wiki/Aramus guarauna,none
41,Grus grus,published,https://en.wikipedia.org/wiki/Grus grus,none
53,Balearica regulorum,published,https://en.wikipedia.org/wiki/Balearica regulorum,none
77,Otis tarda,published,https://en.wikipedia.org/wiki/Otis tarda,none
95,Eupodotis senegalensis,published,https://en.wikipedia.org/wiki/Eupodotis senegalensis,none
115,Ardeotis kori,published,https://en.wikipedia.org/wiki/Ardeotis kori,none
132,Tetrax tetrax,published,https://en.wikipedia.org/wiki/Tetrax tetrax,none
162,Porzana carolina,published,https://en.wikipedia.org/wiki/Porzana carolina,none
178,Porzana porzana,published,https://en.wikipedia.org/wiki/Porzana porzana,none
473,Fulica americana,published,https://en.wikipedia.org/wiki/Fulica americana,none
482,Fulica atra,published,https://en.wikipedia.org/wiki/Fulica atra,none
487,Fulica cristata,published,https://en.wikipedia.org/wiki/Fulica cristata,none
519,Porphyrio martinica,published,https://en.wikipedia.org/wiki/Porphyrio martinica,none
804,Coturnix coturnix,published,https://en.wikipedia.org/wiki/Coturnix coturnix,none
831,Perdix perdix,published,https://en.wikipedia.org/wiki/Perdix perdix,none
846,Alectoris chukar,published,https://en.wikipedia.org/wiki/Alectoris chukar,none
863,Alectoris graeca,published,https://en.wikipedia.org/wiki/Alectoris graeca,none
867,Alectoris rufa,published,https://en.wikipedia.org/wiki/Alectoris rufa,none
871,Alectoris barbara,published,https://en.wikipedia.org/wiki/Alectoris barbara,none
882,Gallus gallus,published,https://en.wikipedia.org/wiki/Gallus gallus,none
949,Lagopus muta,published,https://en.wikipedia.org/wiki/Lagopus muta,none
981,Phasianus colchicus,published,https://en.wikipedia.org/wiki/Phasianus colchicus,none
1204,Pavo cristatus,published,https://en.wikipedia.org/wiki/Pavo cristatus,none
1428,Numida meleagris,published,https://en.wikipedia.org/wiki/Numida meleagris,none
1449,Acryllium vulturinum,published,https://en.wikipedia.org/wiki/Acryllium vulturinum,none
1630,Centropus superciliosus,published,https://en.wikipedia.org/wiki/Centropus superciliosus,none
1653,Centropus monachus,published,https://en.wikipedia.org/wiki/Centropus monachus,none
1730,Chrysococcyx klaas,published,https://en.wikipedia.org/wiki/Chrysococcyx klaas,none
1738,Chrysococcyx caprius,published,https://en.wikipedia.org/wiki/Chrysococcyx caprius,none
1787,Clamator glandarius,published,https://en.wikipedia.org/wiki/Clamator glandarius,none
1903,Cuculus solitarius,published,https://en.wikipedia.org/wiki/Cuculus solitarius,none
