taxon_id,scientific_name,achievement_required,state,review_action
7,Aramus guarauna,no,missing,optional_source
41,Grus grus,no,resolution_failed,optional_source
53,Balearica regulorum,yes,published_direct,none
77,Otis tarda,no,missing,optional_source
95,Eupodotis senegalensis,no,missing,optional_source
115,Ardeotis kori,no,missing,optional_source
132,Tetrax tetrax,no,missing,optional_source
162,Porzana carolina,no,missing,optional_source
178,Porzana porzana,no,missing,optional_source
473,Fulica americana,no,missing,optional_source
482,Fulica atra,no,missing,optional_source
487,Fulica cristata,no,missing,optional_source
519,Porphyrio martinica,no,missing,optional_source
804,Coturnix coturnix,no,missing,optional_source
831,Perdix perdix,no,missing,optional_source
846,Alectoris chukar,no,missing,optional_source
863,Alectoris graeca,no,missing,optional_source
867,Alectoris rufa,no,published_direct,none
871,Alectoris barbara,no,missing,optional_source
882,Gallus gallus,no,published_direct,none
949,Lagopus muta,no,missing,optional_source
981,Phasianus colchicus,no,missing,optional_source
1204,Pavo cristatus,no,missing,optional_source
1428,Numida meleagris,no,missing,optional_source
1449,Acryllium vulturinum,no,missing,optional_source
1630,Centropus superciliosus,no,missing,optional_source
1653,Centropus monachus,no,missing,optional_source
1730,Chrysococcyx klaas,no,missing,optional_source
1738,Chrysococcyx caprius,no,missing,optional_source
1787,Clamator glandarius,no,missing,optional_source
1903,Cuculus solitarius,no,missing,optional_source
1907,Cuculus canorus,no,missing,optional_source
1964,Coccyzus minor,no,missing,optional_source
1965,Coccyzus americanus,no,missing,optional_source
1971,Crotophaga ani,no,published_direct,none
2117,Todus multicolor,yes,published_direct,none
2118,Todus subulatus,no,missing,optional_source
2119,Todus todus,no,missing,optional_source
2120,Todus angustirostris,no,missing,optional_source
2121,Todus mexicanus,no,missing,optional_source
2185,Merops pusillus,no,missing,optional_source
2191,Merops apiaster,yes,published_direct,none
2220,Merops nubicus,no,missing,optional_source
2223,Merops bulocki,no,missing,optional_source
2226,Merops superciliosus,no,published_direct,none
2239,Merops oreobates,no,missing,optional_source
2240,Merops albicollis,no,missing,optional_source
2245,Merops persicus,no,published_direct,none
2248,Merops bullockoides,no,missing,optional_source
2265,Coracias abyssinicus,no,missing,optional_source
2266,Coracias garrulus,no,missing,optional_source
2269,Coracias caudatus,yes,published_direct,none
2288,Eurystomus glaucurus,no,published_direct,none
2328,Halcyon leucocephala,no,missing,optional_source
2334,Halcyon chelicuti,no,missing,optional_source
2337,Halcyon senegalensis,no,missing,optional_source
2346,Halcyon albiventris,no,missing,optional_source
2548,Megaceryle alcyon,no,missing,optional_source
2599,Alcedo atthis,yes,published_direct,none
2662,Ceryle rudis,no,missing,optional_source
2938,Streptopelia turtur,no,missing,optional_source
2951,Streptopelia decipiens,no,missing,optional_source
2959,Streptopelia capicola,no,missing,optional_source
2966,Streptopelia roseogrisea,no,missing,optional_source
2969,Streptopelia decaocto,no,missing,optional_source
2988,Streptopelia semitorquata,no,missing,optional_source
2989,Streptopelia lugens,no,missing,optional_source
