region,in_current_catalogue,recommended_candidate,group,regional_rank,taxon_id,common_name,scientific_name,observation_count,proposed_frequency_rarity,current_editorial_rarity,current_prestige,model_version,review_action
mediterranean_europe,yes,yes,amphibians,1,66331,Iberian Green Frog,Pelophylax perezi,20742,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,2,27726,Fire Salamander,Salamandra salamandra,18071,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,3,326296,European Toad,Bufo bufo,15052,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,4,134693,Spiny Toad,Bufo spinosus,12270,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,5,25591,European Common Frog,Rana temporaria,12012,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,6,65450,Natterjack Toad,Epidalea calamita,10540,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,7,25669,Agile Frog,Rana dalmatina,5968,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,8,25665,Iberian Frog,Rana iberica,4614,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,9,27712,Marbled Newt,Triturus marmoratus,3733,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,10,64378,Bosca's newt,Lissotriton boscai,3438,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,11,27732,Lanza's Alpine Salamander,Salamandra lanzai,3155,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,12,25616,Italian Stream Frog,Rana italica,3022,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,13,1453013,Green Toad,Bufotes viridis,2872,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,14,1319807,Marsh Frog,Pelophylax ridibundus,2692,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
mediterranean_europe,yes,yes,amphibians,15,27717,Italian Crested Newt,Triturus carnifex,2553,common,common,standard,inaturalist-regional-frequency-v1,compare then edit workbook
